tag,entity
tag_people,"엄마, 아빠, 할아버지, 할머니, 동생, 언니, 형, 이모, 이모부, 고모, 고무부, 삼촌, 숙모, 아줌마, 아저씨, 여자, 남자, 친구, 선생님, 의사선생님, 간호사, 경찰관, 경비원아저씨, 어린이, 보조선생님, 보건선생님, 나이"
tag_place,"집, 학교, 유치원, 언어치료실, 물리치료실, 놀이치료실, 회사, 놀이터, 화장실, 식당, 수영장, 교실, 백화점, 마트, 서점, 커피숍, 놀이공원, 은행, 주민센터, 공항, 미용실, 병원, 약국, 주유소, 영화관, 우체국, 치료실, 작업치료실, 편의점, 시장, 카페, 헬스장, 동물원, 공원, 거실, 도사관, 부엌, 내 방, 해수욕장, 교회, 가게"
tag_time,"어제, 오늘, 지금, 내일, 모레, 아침, 저녁, 이따가, 밤에, 전에, 나중에, 가을, 겨울, 월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일, 주말"
tag_object,"막대기, 나무, 지팡이, 철봉, 회초리, 주먹, 손바닥, 발, 팔, 돌맹이, 벽돌, 공, 식판, 숟가락, 책"
tag_body,"손, 발, 무릎, 어깨, 다리, 팔, 허리, 배, 머리, 목,"
