tag,entity
tag_people,"형제, 형, 할아버지, 할머니, 오빠, 자매, 언니, 누나, 선생님, 아버지, 어머니, 여자, 남자, 가족, 도우미, 활동보조인, 선생님, 아저씨, 아줌마, 모르는 사람, 처음 보는 사람, 가게 주인,학교 친구, 장애인"
tag_place,"한옥마을, 한강공원, 카페, 청와대, 창덕궁, 종합운동장, 여의도공원, 여의도, 어린이대공원, 술집, 숭례문, 서울역, 서울시청, 서울숲, 롯데월드, 빵집, 뚝섬, 동대문, 독립문, 남산, 낙산공원, 김포공한, 국회의사당, 광화문, 고속터미널, 경복궁, 63빌딩, 지원주택, 집, 학교, 학원, 공원, 병원, 식당, 지하철역"
tag_time,"아침, 오후, 오전, 밤, 시"
tag_object,"막대기, 나무, 지팡이, 철봉, 회초리, 주먹, 손바닥, 발, 팔, 돌맹이, 벽돌, 공, 식판, 숟가락, 책"
tag_body,"팔, 다리, 발, 허리, 어깨, 머리, 얼굴, 눈, 코, 입, 귀, 가랑이, 허벅지, 손, 손가락, 발가락, 엉덩이, 배, 발바닥, 등, 가슴, 무릎, 팔꿈치"
